Date,ScalerCorr,pressure,activeSD
1118656800,1642.89,871.13,1083.67
1118658600,1643.91,871.332,1086.58
1118660400,1644.75,871.495,1086
1118662200,1647.12,871.712,1084.83
1118664000,1650.88,871.924,1081.42
1118665800,1653.88,872.047,1075.58
1118667600,1656.24,872.155,1069.58
1118669400,1658.53,872.21,1065.67
1118671200,1660.33,872.11,1065.25
1118673000,1661.73,871.844,1066.58
1118674800,1662.13,871.541,1068.42
1118676600,1661.74,871.198,1071.67
1118678400,1660.83,870.751,1073.5
1118680200,1659.89,870.329,1076.42
1118682000,1658.68,869.815,1084
1118683800,1656.57,869.233,1089.25
1118685600,1653.84,868.847,1088
1118687400,1650.34,868.557,1083
1118689200,1646.83,868.355,1080.08
1118691000,1644.12,868.263,1083.42
1118692800,1641.96,868.178,1086.08
1118694600,1639.81,868.153,1079.5
1118696400,1637.34,868.188,1071.33
1118698200,1635.87,868.347,1072.75
1118700000,1636.31,868.43,1076.92
1118701800,1637.35,868.223,1077.5
1118703600,1638.37,867.923,1078.08
1119398400,1611.69,865.615,1052
1119400200,1611.52,865.716,1047.33
1119402000,1611.97,865.783,1047.92
1119403800,1612.64,865.831,1051.92
1119405600,1613.12,865.945,1057.17
1119407400,1613.02,866.124,1057.75
1119409200,1612.79,866.272,1059.83
1119411000,1613.42,866.418,1063.75
1119412800,1613.67,866.434,1065.17
1119414600,1612.83,866.344,1069.92
1119416400,1612.65,866.247,1073.67
1119418200,1612.35,866.144,1070.67
1119420000,1611.72,866.045,1069.58
1119421800,1611.41,865.816,1074.58
1119423600,1610.31,865.558,1075.5
1119425400,1609.37,865.432,1076.17
1119427200,1610.16,865.387,1078.92
1119429000,1610.27,865.33,1077.83
1119430800,1609.96,865.371,1074
1119432600,1611.07,865.531,1073.17
1119434400,1612.32,865.68,1073.58
1119436200,1613.27,865.893,1074.92
1119438000,1614.22,866.136,1068.75
1119439800,1616.84,866.319,1051.5
1119441600,1620.56,866.351,1037.92
1119443400,1625.35,866.3,1031.67
1119445200,1629.44,866.25,1024.92
1119447000,1631.97,866.19,1016.33
1119448800,1634.54,866.046,1006.5
1119450600,1636.04,865.776,1006.75
1119452400,1636,865.43,1016.17
1119454200,1634.3,864.96,1024.25
1119456000,1632.7,864.374,1031.08
1119457800,1632.04,863.773,1036.5
1119459600,1630.21,863.239,1038.75
1119461400,1627.98,862.933,1042.5
1119463200,1626.08,862.781,1047.5
1119465000,1623.87,862.588,1048.58
1119466800,1621.64,862.494,1050.83
1119468600,1618.43,862.53,1069.83
1119470400,1614.67,862.62,1083.92
1119472200,1611.11,862.772,1076.5
1119474000,1607.94,863.046,1072.17
1119475800,1606.2,863.382,1068.67
1119477600,1606.45,863.622,1069.92
1119479400,1608.2,863.817,1078.42
1119481200,1610.77,863.985,1081.25
1117756800,1635.22,862.018,1036
1117758600,1635.71,862.14,1035
1117760400,1637.55,862.189,1038.75
1117762200,1639.04,862,1040.92
1117764000,1639.7,861.662,1045.08
1117765800,1640.66,861.435,1054.67
1117767600,1640.55,861.28,1062.25
1117769400,1638.74,860.933,1061.83
1117771200,1636.53,860.495,1062.42
1117773000,1635.41,860.275,1061.92
1117774800,1634.58,860,1056
1117776600,1634.21,859.75,1059.17
1117778400,1634.76,859.625,1067.08
1117780200,1634.79,859.378,1068.08
1117782000,1635.26,859.262,1066.17
1117783800,1636.02,859.285,1065.33
1117785600,1636.2,859.216,1065.5
1117787400,1636.16,859.091,1063.33
1117789200,1636.28,858.986,1063.67
1117791000,1635.6,858.872,1064.75
1117792800,1635.09,858.951,1064.83
1117794600,1635.36,859.053,1061.25
1117796400,1637.34,859.071,1059.75
1117798200,1642.11,859.166,1066.58
1117800000,1645.4,859.244,1064.92
1117801800,1648.21,859.326,1056.83
1117803600,1649.91,859.468,1054
1117805400,1650.86,859.531,1048.83
1117807200,1653.22,859.507,1048.08
1117809000,1655.13,859.364,1049.92
1117810800,1655.63,858.907,1050.08
1117812600,1654.55,858.358,1055.33
1117814400,1654.01,857.971,1060.42
1117816200,1652.94,857.563,1063.25
1117818000,1651.06,857.094,1063.83
1117819800,1648.01,856.677,1065
1117821600,1644.38,856.549,1070.5
1117823400,1641.06,856.626,1074.25
1117825200,1637.5,856.595,1072.42
1117827000,1634.42,856.605,1069.42
1117828800,1631.25,856.732,1071.17
1117830600,1630.41,857.361,1068.33
1117832400,1630.16,857.956,1063.17
1117834200,1628.98,858.181,1061.92
1117836000,1629.16,858.436,1063.17
1117837800,1629.62,858.598,1063.33
1117839600,1630.42,858.776,1069
1117584000,1638.18,856.377,1046
1117585800,1637.97,856.659,1042.83
1117587600,1636.88,856.716,1044.25
1117589400,1636.01,856.683,1046.67
1117591200,1636.52,856.755,1052.75
1117593000,1636.59,856.732,1052.25
1117594800,1500.09,856.562,1051.17
1117596600,1499.39,856.208,1054
1117598400,1635.96,855.933,1055.33
1117600200,1636.88,855.728,1062.42
1117602000,1636.48,855.333,1066.5
1117603800,1636.21,855.034,1066.08
1117605600,1635.86,854.788,1067.92
1117607400,1635.21,854.528,1069.08
1117609200,1636.08,854.535,1072.58
1117611000,1636.28,854.463,1073.42
1117612800,1636.02,854.265,1071.25
1117614600,1636.63,854.138,1070.5
1117616400,1637.2,854.129,1071.5
1117618200,1638.33,854.33,1070.92
1117620000,1640.42,854.761,1071.08
1117621800,1642.58,855.155,1071.17
1117623600,1645.4,855.407,1069.75
1117625400,1649.43,855.66,1068.92
1117627200,1654.59,855.888,1066.5
1117629000,1659.03,856.182,1063.83
1117630800,1660.7,856.325,1058.75
1117632600,1661.48,856.384,1057.42
1117634400,1662.55,856.486,1060.67
1117636200,1663.2,856.526,1060.75
1117638000,1662.63,856.488,1058.92
1117639800,1661.15,856.324,1057.83
1117641600,1658.53,856.083,1060.17
1117643400,1655.24,855.922,1065.67
1117645200,1652.54,856.027,1069.25
1117647000,1649.96,856.151,1070.17
1117648800,1647.44,856.197,1072
1117650600,1645.39,856.26,1073.67
1117652400,1643.17,856.395,1074.5
1117654200,1641.59,856.683,1075.33
1117656000,1639.86,856.953,1072
1117657800,1637.77,857.239,1068.83
1117659600,1636.48,857.525,1065.25
1117661400,1635.62,857.722,1064.33
1117663200,1635.44,857.852,1067.33
1117665000,1636.14,858.061,1069.42
1117666800,1637.27,858.463,1070.33
1117152000,1636.09,861.307,1040.42
1117153800,1636,861.392,1043
1117155600,1638.84,861.585,1048
1117157400,1641.1,861.848,1049.17
1117159200,1641.14,862.109,1054.5
1117161000,1640.68,862.204,1056.08
1117162800,1503.53,862.307,1055.42
1117164600,1504.27,862.419,1059.17
1117166400,1641.58,862.482,1063.92
1117168200,1642.96,862.563,1066
1117170000,1643.96,862.551,1067.58
1117171800,1643.58,862.513,1071
1117173600,1644.02,862.537,1074.42
1117175400,1644.81,862.394,1076.08
1117177200,1645.3,862.131,1078.5
1117179000,1646.92,862.095,1079.75
1117180800,1648.39,862.165,1078
1117182600,1649.44,862.221,1072.42
1117184400,1650.65,862.358,1061.58
1117186200,1650.9,862.239,1048.5
1117188000,1648.93,861.89,1040
1117189800,1646.44,861.721,1040.83
1117191600,1645.58,861.695,1042.17
1117193400,1646.04,861.765,1044.42
1117195200,1647.85,861.85,1058.33
1117197000,1649.68,861.853,1069.83
1117198800,1651.09,861.818,1068.92
1117200600,1651.82,861.689,1064.83
1117202400,1651.79,861.571,1065.08
1117204200,1651.12,861.55,1068.42
1117206000,1512.88,861.398,1067.75
1117207800,1512.55,861.08,1068.5
1117209600,1648.78,860.658,1069.25
1117211400,1648.09,860.386,1067.33
1117213200,1647.31,860.274,1070.92
1117215000,1646.02,860.068,1077.92
1117216800,1645.29,859.924,1081.92
1117218600,1644.73,859.852,1080.58
1117220400,1644.53,859.741,1080.92
1117222200,1643.69,859.704,1083.33
1117224000,1641.21,859.648,1082.58
1117225800,1639.06,859.683,1079.67
1117227600,1637.19,859.821,1077.08
1117229400,1635.97,860.157,1077.42
1117231200,1636.77,860.66,1078.83
1117233000,1635.49,860.65,1077.08
1117234800,1635.07,860.733,1074.92
1117843200,1630.6,859.137,1044.58
1117845000,1630.68,859.378,1038
1117846800,1631.3,859.634,1040.17
1117848600,1631.95,859.859,1043.17
1117850400,1631.61,859.815,1046
1117852200,1630.46,859.591,1047.08
1117854000,1630.71,859.53,1049.58
1117855800,1631.32,859.602,1054.42
1117857600,1631.23,859.545,1056.83
1117859400,1631.47,859.428,1058.08
1117861200,1632.4,859.343,1061.08
1117863000,1633.41,859.191,1063.67
1117864800,1634.24,859.035,1066
1117866600,1635.38,858.988,1064.17
1117868400,1636.39,859.078,1062.83
1117870200,1636.07,858.954,1067
1117872000,1636.31,858.84,1068.17
1117873800,1637.34,858.865,1067.75
1117875600,1637.63,858.948,1068.92
1117877400,1637.89,859.152,1069.5
1117879200,1638.26,859.366,1069.92
1117881000,1638.34,859.49,1068.67
1117882800,1638.87,859.644,1065.75
1117884600,1642.42,859.904,1065.25
1117886400,1646.21,860.075,1063.75
1117888200,1646.49,860.166,1061.58
1117890000,1646.56,860.272,1060.17
1117891800,1647.27,860.429,1065.92
1117893600,1647.64,860.546,1071.75
1117895400,1648.85,860.5,1076.17
1117897200,1650.21,860.421,1079.42
1117899000,1649.81,860.154,1081.33
1117900800,1648.78,859.898,1081.5
1117902600,1647.6,859.623,1075.83
1117904400,1647.67,859.286,1076.08
1117906200,1647.92,859.157,1082.58
1117908000,1646.49,859.061,1085.67
1117909800,1645.5,859.085,1084
1117911600,1644.57,859.119,1083.92
1117913400,1643.55,859.205,1085.5
1117915200,1642.08,859.37,1082.92
1117917000,1640.99,859.685,1080.75
1117918800,1640.48,860.167,1082.17
1117920600,1639.67,860.628,1083
1117922400,1638.73,860.998,1082.25
1117924200,1638.15,861.347,1083.42
1117926000,1637.52,861.598,1084.92
1117670400,1638.14,859.126,1046.42
1117672200,1637.8,859.306,1037.08
1117674000,1637.65,859.444,1039.75
1117675800,1636.51,859.592,1042.33
1117677600,1636.23,859.749,1038.25
1117679400,1637.69,860.112,1040.08
1117681200,1639.05,860.56,1045
1117683000,1640.27,860.796,1048.83
1117684800,1642.4,860.865,1048.83
1117686600,1643.58,860.959,1050.33
1117688400,1644.56,861.102,1054.58
1117690200,1644.36,861.122,1057.58
1117692000,1644.46,861.078,1055.92
1117693800,1645.17,861.104,1053.92
1117695600,1643.98,861.221,1058.42
1117697400,1644.68,861.538,1060.67
1117699200,1643.7,861.638,1064.83
1117701000,1643.44,861.523,1068.5
1117702800,1646.04,861.503,1068.08
1117704600,1649.64,861.638,1064.58
1117706400,1652.07,861.945,1064.92
1117708200,1651.45,862.195,1070.08
1117710000,1650.81,862.433,1069.33
1117711800,1650.87,862.68,1066.75
1117713600,1651.88,862.853,1061.42
1117715400,1652.97,863.043,1056.25
1117717200,1654.95,863.262,1052
1117719000,1657.49,863.425,1049.83
