date,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin
2,2007.01.14 12:48:00,1.0,1.02,1.19,13,-0.2,3,14.5,-6.9,379.0,-11.0
3,2007.01.15 10:00:00,0.4,0.85,0.79,21,-0.16,9,13.6,-8.1,698.0,-27.0
4,2007.01.25 09:00:00,0.5,1.19,1.24,45,-0.18,9,5.4,-3.2,349.0,-4.0
5,2007.01.28 00:00:00,0.4,1.02,0.98,8,-0.15,9,6.7,-3.4,353.0,0.0
6,2007.01.29 01:00:00,2.3,0.87,1.6,48,-0.32,9,17.9,-13.8,695.0,-42.0
7,2007.02.04 21:00:00,1.1,0.67,1.04,71,-0.22,9,8.0,-4.8,464.0,-25.0
8,2007.02.12 09:00:00,1.2,0.97,0.75,40,-0.23,9,12.9,-5.9,735.0,-32.0
9,2007.02.22 01:00:00,0.6,1.0,1.09,0,-0.19,9,6.9,-2.7,316.0,-6.0
10,2007.02.25 18:00:00,0.9,1.39,0.75,18,-0.24,9,13.2,-6.6,661.0,-12.0
11,2007.03.04 22:00:00,0.9,0.7,0.87,59,-0.2,9,10.1,-4.0,625.0,-9.0
12,2007.03.11 08:00:00,1.0,0.88,0.79,42,-0.27,9,10.3,-8.5,706.0,-33.0
13,2007.03.16 01:00:00,0.5,0.68,0.65,9,-0.17,9,4.9,-2.8,648.0,-12.0
14,2007.03.19 14:00:00,0.4,1.02,0.64,19,-0.15,9,4.5,-1.9,393.0,-19.0
15,2007.03.22 23:00:00,1.4,0.96,0.96,32,-0.19,9,10.5,-8.7,373.0,-70.0
16,2007.03.24 20:00:00,0.9,1.08,0.84,13,-0.21,9,11.7,-5.2,585.0,-36.0
17,2007.03.29 18:00:00,0.8,1.04,0.91,42,-0.14,9,5.7,-4.3,400.0,-20.0
18,2007.03.31 20:00:00,1.1,1.24,0.9,18,-0.38,9,10.7,-6.6,649.0,-63.0
19,2007.04.08 22:00:00,1.1,1.14,0.61,7,-0.3,9,17.0,-2.5,487.0,-10.0
20,2007.04.10 10:00:00,0.7,0.61,0.81,46,-0.21,9,8.2,-4.9,556.0,-13.0
21,2007.04.14 06:00:00,0.5,0.8,0.93,11,-0.15,9,5.8,-3.1,373.0,-36.0
22,2007.04.17 03:00:00,0.3,0.64,0.79,13,-0.14,9,10.5,-7.9,408.0,-36.0
23,2007.04.21 09:00:00,0.3,0.85,0.71,15,-0.16,9,3.5,-0.9,306.0,4.0
24,2007.04.22 03:00:00,1.0,1.51,0.75,45,-0.21,9,12.9,-7.7,533.0,-27.0
25,2007.04.24 16:00:00,0.4,0.65,0.79,7,-0.23,9,6.8,-3.2,465.0,-33.0
26,2007.04.26 14:00:00,0.7,1.0,1.2,41,-0.19,9,9.5,-4.1,681.0,-33.0
27,2007.05.03 14:00:00,0.6,1.14,1.07,6,-0.19,9,4.4,-3.9,341.0,-11.0
28,2007.05.07 08:26:00,1.1,0.95,1.18,16,-0.27,1,20.3,-10.8,638.0,-31.0
29,2007.05.13 02:00:00,0.5,0.98,1.03,34,-0.17,9,5.6,-3.3,358.0,-5.0
30,2007.05.17 21:00:00,1.6,1.67,1.01,31,-0.22,9,17.2,-7.0,674.0,-21.0
31,2007.05.21 17:00:00,1.5,1.36,1.04,15,-0.21,9,12.7,-7.6,504.0,-20.0
32,2007.05.23 02:00:00,0.5,0.97,1.15,-1,-0.28,9,11.3,-10.1,687.0,-63.0
33,2007.05.31 20:00:00,0.4,0.78,0.98,22,-0.25,9,8.5,-2.2,362.0,-8.0
34,2007.06.01 23:00:00,0.9,0.79,0.84,29,-0.25,9,11.7,-4.4,517.0,-3.0
35,2007.06.08 02:00:00,0.9,1.04,0.81,11,-0.28,9,9.4,-4.5,366.0,-15.0
36,2007.06.09 00:00:00,0.4,0.71,0.82,4,-0.21,9,9.4,-5.4,452.0,-19.0
37,2007.06.13 20:00:00,1.3,1.17,1.25,50,-0.23,9,11.4,-7.0,618.0,-17.0
38,2007.06.17 16:00:00,0.4,0.68,0.67,4,-0.12,9,5.3,-2.4,521.0,-7.0
39,2007.06.21 09:00:00,0.7,0.81,1.1,71,-0.21,9,9.8,-4.2,578.0,-21.0
40,2007.06.28 19:00:00,0.3,0.86,0.4,18,-0.18,9,6.7,-0.9,368.0,3.0
41,2007.06.29 18:00:00,0.6,0.88,1.04,10,-0.19,9,11.3,-2.7,539.0,-12.0
42,2007.07.03 10:00:00,0.5,0.9,1.02,26,-0.16,9,10.4,-7.9,620.0,-15.0
43,2007.07.10 15:00:00,1.3,1.06,0.85,38,-0.29,9,17.8,-9.2,598.0,-39.0
44,2007.07.13 19:00:00,0.5,1.12,1.08,15,-0.18,9,12.5,-7.5,477.0,-45.0
45,2007.07.14 17:00:00,0.8,0.64,1.36,10,-0.19,9,12.5,-9.2,606.0,-41.0
46,2007.07.20 04:12:00,0.1,0.24,0.19,-2,-0.03,3,4.0,999.0,-999.0,3.0
47,2007.07.20 06:16:00,1.3,1.23,0.86,49,-0.33,3,11.0,-9.8,532.0,-30.0
48,2007.07.26 13:00:00,0.7,0.7,1.02,18,-0.19,9,11.9,-3.2,484.0,-17.0
49,2007.07.29 00:00:00,1.3,1.0,1.08,27,-0.25,9,15.6,-5.6,613.0,-18.0
50,2007.08.01 01:00:00,0.6,1.0,1.42,14,-0.18,9,8.4,-3.7,650.0,-17.0
51,2007.08.06 06:00:00,1.2,0.9,0.74,44,-0.25,9,15.3,-8.9,690.0,-34.0
52,2007.08.10 09:00:00,0.9,1.03,0.94,40,-0.21,9,11.4,-5.3,573.0,-32.0
53,2007.08.12 09:00:00,0.3,0.91,0.9,-2,-0.15,9,4.2,-3.2,466.0,-19.0
54,2007.08.14 21:00:00,0.8,0.78,0.99,29,-0.18,9,8.1,-5.7,463.0,-16.0
55,2007.08.18 11:00:00,0.7,1.02,0.91,37,-0.29,9,7.2,-3.5,411.0,-5.0
56,2007.08.21 10:40:00,0.4,0.89,0.93,0,-0.13,3,5.0,-3.7,350.0,-5.0
57,2007.08.22 07:00:00,0.5,0.62,0.78,-1,-0.13,9,4.3,-3.7,335.0,-5.0
58,2007.08.25 10:00:00,0.7,0.77,0.9,15,-0.23,9,10.5,-5.0,382.0,-8.0
59,2007.08.26 11:00:00,1.5,1.37,0.96,41,-0.27,9,19.4,-4.8,676.0,-22.0
60,2007.08.31 15:00:00,0.6,0.69,0.98,29,-0.23,9,9.0,-3.9,670.0,-22.0
61,2007.09.06 06:00:00,0.6,0.97,1.04,6,-0.25,9,8.1,-5.4,556.0,-29.0
62,2007.09.14 15:00:00,1.2,1.14,0.82,58,-0.26,9,15.3,-3.9,444.0,0.0
63,2007.09.17 21:00:00,0.6,1.04,0.98,-2,-0.18,9,5.6,-3.3,350.0,1.0
64,2007.09.20 10:12:00,1.4,1.02,0.85,67,-0.25,1,10.5,-6.5,674.0,-13.0
65,2007.09.27 11:51:00,0.8,0.8,1.01,22,-0.27,1,10.0,-4.7,588.0,-20.0
66,2007.09.28 16:00:00,0.7,0.76,0.7,10,-0.22,9,9.4,-4.7,672.0,-39.0
67,2007.10.02 21:00:00,0.6,0.76,0.72,8,-0.26,9,7.9,-5.1,586.0,-35.0
68,2007.10.11 22:00:00,1.0,0.77,1.0,25,-0.25,9,8.8,-5.4,352.0,-12.0
69,2007.10.14 16:00:00,0.6,1.19,0.86,37,-0.22,9,8.2,-4.6,347.0,-10.0
70,2007.10.18 02:00:00,1.7,1.42,0.87,37,-0.29,9,12.6,-9.0,669.0,-27.0
71,2007.10.25 11:35:00,0.9,0.78,0.8,8,-0.35,1,15.7,-5.1,698.0,-52.0
72,2007.10.29 16:00:00,0.5,0.78,0.73,17,-0.14,9,7.7,-5.9,587.0,-31.0
73,2007.11.04 12:00:00,0.5,1.12,0.9,39,-0.15,9,6.2,-4.2,322.0,-10.0
74,2007.11.08 14:00:00,1.0,1.0,0.76,47,-0.19,9,10.5,-2.7,438.0,-5.0
75,2007.11.12 10:00:00,1.4,0.96,0.89,47,-0.27,9,12.5,-8.3,666.0,-12.0
76,2007.11.19 18:11:00,1.8,1.83,1.09,9,-0.4,2,19.7,-9.9,481.0,-1.0
